alexandr malý,Psittacula krameri
alka malá,Alca torda
alkoun malý,Alle alle
alkoun obecný,Cepphus grylle
alkoun úzkozobý,Uria aalge
bažant královský,Syrmaticus reevesii
bažant obecný,Phasianus colchicus
běhulík plavý,Cursorius cursor
bekasina otavní,Gallinago gallinago
bekasina větší,Gallinago media
bělořit okrový,Oenanthe hispanica
bělořit pouštní,Oenanthe deserti
bělořit šedý,Oenanthe oenanthe
berneška bělolící,Branta leucopsis
berneška rudokrká,Branta ruficollis
berneška tmavá,Branta bernicla
berneška velká,Branta canadensis
bramborníček černohlavý,Saxicola rubicola
bramborníček hnědý,Saxicola rubetra
břehouš černoocasý,Limosa limosa
břehouš rudý,Limosa lapponica
břehule říční,Riparia riparia
břehule skalní,Ptyonoprogne rupestris
brhlík lesní,Sitta europaea
brkoslav severní,Bombycilla garrulus
budníček horský,Phylloscopus bonelli
budníček lesní,Phylloscopus sibilatrix
budníček menší,Phylloscopus collybita
budníček pruhohlavý,Phylloscopus inornatus
budníček temný,Phylloscopus fuscatus
budníček tlustozobý,Phylloscopus schwarzi
budníček větší,Phylloscopus trochilus
budníček zelený,Phylloscopus trochiloides
budníček zlatohlavý,Phylloscopus proregulus
bukáček malý,Ixobrychus minutus
bukač velký,Botaurus stellaris
buřňáček malý,Hydrobates pelagicus
buřnák lední,Fulmarus glacialis
buřňák šedý/severoatlanský,Calonectris diomedea
čáp bílý,Ciconia ciconia
čáp černý,Ciconia nigra
čečetka bělavá,Acanthis hornemanni
čečetka tmavá,Acanthis cabaret
čečetka zimní,Acanthis flammea
čejka chocholatá,Vanellus vanellus
čejka trnitá,Vanellus spinosus
červenka obecná,Erithacus rubecula
cetie jižní,Cettia cetti
chaluha malá,Stercorarius longicaudus
chaluha pomořanská,Stercorarius pomarinus
chaluha příživná,Stercorarius parasiticus
chaluha velká,Stercorarius skua
chocholouš obecný,Galerida cristata
chřástal kropenatý,Porzana porzana
chřástal malý,Zapornia parva
chřástal nejmenší,Zapornia pusilla
chřástal polní,Crex crex
chřástal vodní,Rallus aquaticus
čírka karolinská,Anas carolinensis
čírka modrá,Spatula querquedula
čírka modrokřídlá,Spatula discors
čírka obecná,Anas crecca
čírka úzkozobá,Marmaronetta angustirostris
čížek lesní,Spinus spinus
cvrčilka říční,Locustella fluviatilis
cvrčilka slavíková,Locustella luscinioides
cvrčilka zelená,Locustella naevia
datel černý,Dryocopus martius
datlík tříprstý,Picoides tridactylus
dlask tlustozobý,Coccothraustes coccothraustes
dřemlík tundrový,Falco columbarius
drop hřívnatý,Chlamydotis macqueenii
drop malý,Tetrax tetrax
drop velký,Otis tarda
drozd brávník,Turdus viscivorus
drozd černohrdlý,Turdus atrogularis
drozd cvrčala,Turdus iliacus
drozd kvíčala,Turdus pilaris
drozd zpěvný,Turdus philomelos
dudek chocholatý,Upupa epops
dytík úhorní,Burhinus oedicnemus
havran polní,Corvus frugilegus
hohol bělavý,Bucephala albeola
hohol islandský,Bucephala islandica
hoholka lední,Clangula hyemalis
hohol severní,Bucephala clangula
holub domácí,Columba livia
holub doupňák,Columba oenas
holub hřivnáč,Columba palumbus
hrdlička divoká,Streptopelia turtur
hrdlička východní,Streptopelia orientalis
hrdlička zahradní,Streptopelia decaocto
husa běločelá,Anser albifrons
husa indická,Anser indicus
husa krátkozobá,Anser brachyrhynchus
husa malá,Anser erythropus
husa polní,Anser fabalis
husa sněžní,Anser caerulescens
husa tundrová,Anser serrirostris
husa velká,Anser anser
husice liščí,Tadorna tadorna
husice nilská,Alopochen aegyptiaca
husice rezavá,Tadorna ferruginea
husička stěhovavá,Dendrocygna arcuata
hvízdák americký,Mareca americana
hvízdák chilský,Mareca sibilatrix
hvízdák eurasijský,Mareca penelope
hýl křivčí,Pinicola enucleator
hýl obecný,Pyrrhula pyrrhula
hýl pouštní,Bucanetes githagineus
hýl rudý,Carpodacus erythrinus
ibis hnědý,Plegadis falcinellus
ibis posvátný,Threskiornis aethiopicus
jeřábek lesní,Tetrastes bonasia
jeřáb popelavý,Grus grus
jespáček ploskozobý,Calidris falcinellus
jespák bojovný,Calidris pugnax
jespák dlouhokřídlý,Calidris bairdii
jespák křivozobý,Calidris ferruginea
jespák malý,Calidris minuta
jespák mořský,Calidris maritima
jespák obecný,Calidris alpina
jespák písečný,Calidris alba
jespák plavý,Calidris subruficollis
jespák rezavý,Calidris canutus
jespák rudokrký,Calidris ruficollis
jespák šedý,Calidris temminckii
jespák skvrnitý,Calidris melanotos
jespák tundrový,Calidris fuscicollis
jestřáb lesní,Accipiter gentilis
jiřička obecná,Delichon urbicum
kachna divoká,Anas platyrhynchos
kachnice bělohlavá,Oxyura leucocephala
kachnice kaštanová,Oxyura jamaicensis
kachnička hřívnatá,Chenonetta jubata
kachnička karolinská,Aix sponsa
kachnička mandarínská,Aix galericulata
kachnička šedoboká,Callonetta leucophrys
kačka strakatá,Histrionicus histrionicus
kajka královská,Somateria spectabilis
kajka mořská,Somateria mollissima
kalandra zpěvná,Melanocorypha calandra
kalous pustovka,Asio flammeus
kalous ušatý,Asio otus
kamenáček pestrý,Arenaria interpres
káně bělochvostá,Buteo rufinus
káně lesní,Buteo buteo
káně rousná,Buteo lagopus
kavče žlutozobé,Pyrrhocorax graculus
kavka obecná,Coloeus monedula
keptuška běloocasá,Vanellus leucurus
keptuška stepní,Vanellus gregarius
koliha malá,Numenius phaeopus
koliha velká,Numenius arquata
kolpík africký,Platalea alba
kolpík bílý,Platalea leucorodia
konipas bílý,Motacilla alba
konipas citronový,Motacilla citreola
konipas horský,Motacilla cinerea
konipas luční,Motacilla flava
konopka obecná,Linaria cannabina
konopka žlutozobá,Linaria flavirostris
kopřivka obecná,Mareca strepera
kormorán malý,Microcarbo pygmaeus
kormorán velký,Phalacrocorax carbo
koroptev polní,Perdix perdix
kos černý,Turdus merula
kos horský,Turdus torquatus
krahujec krátkoprstý,Accipiter brevipes
krahujec obecný,Accipiter nisus
králíček obecný,Regulus regulus
králíček ohnivý,Regulus ignicapilla
křepelka polní,Coturnix coturnix
křivka bělokřídlá,Loxia leucoptera
křivka obecná,Loxia curvirostra
křivka velká,Loxia pytyopsittacus
krkavec velký,Corvus corax
krocan divoký,Meleagris gallopavo
krutihlav obecný,Jynx torquilla
kukačka obecná,Cuculus canorus
kulík bledý,Pluvialis squatarola
kulík hnědý,Charadrius morinellus
kulík mořský,Charadrius alexandrinus
kulík pacifický,Pluvialis fulva
kulík písečný,Charadrius hiaticula
kulík říční,Charadrius dubius
kulík zlatý,Pluvialis apricaria
kulíšek nejmenší,Glaucidium passerinum
kvakoš noční,Nycticorax nycticorax
